,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
72,17,8,42,2.0,2,1,2.0,2.0,,2.0,23.0,2,3.0,2307.0,4200.0
73,17,10,18,2.0,2,2,2.0,2.0,,2.0,16.0,1,6.0,,
74,17,10,16,2.0,2,1,2.0,2.0,,2.0,14.0,1,6.0,,
75,17,1,85,1.0,2,2,1.0,1.0,,1.0,11.0,1,6.0,,
76,17,6,75,2.0,2,2,2.0,1.0,,2.0,16.0,2,6.0,,
77,17,17,38,2.0,2,2,2.0,2.0,,2.0,17.0,1,1.0,,4230.0
78,17,15,20,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4640.0
79,17,15,45,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,5820.0
80,17,17,20,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4760.0
81,17,3,87,2.0,1,2,2.0,1.0,,2.0,16.0,2,6.0,,
82,17,4,36,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6402.0,9130.0
83,17,12,36,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6212.0,5240.0
84,17,11,38,2.0,2,2,2.0,2.0,,2.0,16.0,1,3.0,,5000.0
85,17,11,38,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,2502.0,1020.0
86,17,10,10,2.0,2,2,,2.0,,2.0,7.0,2,,,
87,17,10,7,2.0,2,2,,2.0,,2.0,4.0,2,,,
88,17,43,41,2.0,2,2,2.0,2.0,,2.0,11.0,1,1.0,,7800.0
89,17,41,18,2.0,2,2,2.0,2.0,,2.0,12.0,2,6.0,,
90,17,17,27,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6203.0,5120.0
91,17,16,5,2.0,2,2,,2.0,,2.0,1.0,1,,,
92,17,1,89,1.0,2,2,1.0,1.0,,2.0,14.0,1,6.0,,
93,17,15,49,2.0,1,2,2.0,2.0,,2.0,16.0,1,6.0,,
94,17,17,58,1.0,2,2,2.0,1.0,,1.0,19.0,2,1.0,,4200.0
95,17,10,48,2.0,2,2,2.0,2.0,,2.0,21.0,2,3.0,6000.0,630.0
96,17,4,75,2.0,1,2,2.0,2.0,,2.0,11.0,1,6.0,,
97,17,4,79,2.0,2,2,2.0,2.0,,2.0,23.0,2,6.0,6001.0,
98,17,6,27,2.0,2,2,2.0,2.0,,2.0,17.0,2,1.0,,4610.0
99,17,5,31,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,6260.0
100,17,5,11,2.0,2,2,,2.0,,2.0,8.0,1,,,
101,17,5,4,,2,2,,,,,1.0,1,,,
102,17,17,48,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,2414.0,1530.0
103,17,30,66,2.0,2,2,2.0,2.0,2.0,2.0,18.0,1,1.0,,420.0
104,17,31,65,2.0,2,2,2.0,1.0,,2.0,15.0,2,6.0,,4720.0
105,17,14,65,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5200.0,5000.0
106,17,8,18,2.0,2,2,2.0,2.0,,2.0,16.0,1,6.0,,4720.0
107,17,16,65,2.0,1,2,2.0,2.0,,2.0,21.0,1,3.0,6201.0,800.0
108,17,15,65,2.0,2,2,2.0,2.0,,2.0,18.0,2,3.0,,5850.0
109,17,10,74,2.0,2,2,2.0,2.0,,2.0,16.0,2,3.0,,3500.0
110,17,15,54,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,5860.0
111,17,23,41,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,2630.0
