,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
72,6,32,37,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,2300.0,2310.0
73,6,33,5,2.0,2,2,,2.0,,2.0,2.0,1,,,
74,6,32,1,,2,2,,,,,,2,,,
75,6,15,39,2.0,2,2,2.0,2.0,,2.0,23.0,1,1.0,3700.0,850.0
76,6,12,41,2.0,2,2,2.0,2.0,,2.0,20.0,2,6.0,,
77,6,12,8,2.0,2,2,,2.0,,2.0,4.0,2,,,
78,6,11,8,2.0,2,2,,2.0,,2.0,4.0,2,,,
79,6,11,59,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,725.0
80,6,14,65,1.0,1,1,1.0,1.0,,1.0,19.0,2,6.0,,
81,6,31,26,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2901.0,2550.0
82,6,36,26,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,7700.0
83,6,38,1,,2,2,,,,,,1,,,
84,6,14,33,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6201.0,800.0
85,6,18,46,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5250.0
86,6,13,46,2.0,2,2,2.0,2.0,,2.0,17.0,1,1.0,,1550.0
87,6,17,22,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4720.0
88,6,14,25,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5860.0
89,6,26,3,,2,2,,,,,2.0,2,,,
90,6,14,33,2.0,2,2,2.0,2.0,,2.0,18.0,1,3.0,,9600.0
91,6,19,60,2.0,2,2,1.0,1.0,2.0,2.0,20.0,1,6.0,,
92,6,24,38,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4200.0
93,6,27,46,2.0,2,2,2.0,2.0,,2.0,12.0,1,1.0,,4200.0
94,6,33,20,1.0,2,2,1.0,2.0,,1.0,5.0,1,6.0,,
95,6,24,17,2.0,2,2,2.0,2.0,,2.0,14.0,2,1.0,,4220.0
96,6,25,11,2.0,2,2,,2.0,,2.0,8.0,1,,,
97,6,32,3,,2,2,,,,,1.0,2,,,
98,6,22,38,2.0,2,2,2.0,2.0,,2.0,4.0,2,6.0,,4220.0
99,6,20,8,2.0,2,2,,2.0,,2.0,5.0,2,,,
100,6,33,3,,2,2,,,,,1.0,1,,,
101,6,8,48,2.0,2,2,2.0,2.0,,2.0,17.0,1,1.0,,8610.0
102,6,6,47,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4200.0
103,6,6,19,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,3930.0
104,6,13,17,2.0,2,2,2.0,2.0,,2.0,15.0,1,6.0,,
105,6,22,40,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6204.0,4700.0
106,6,27,7,2.0,2,2,,2.0,,2.0,3.0,2,,,
107,6,27,4,,2,2,,,,,2.0,2,,,
108,6,13,61,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,2850.0
109,6,44,46,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,430.0
110,6,15,35,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,5501.0,2550.0
111,6,12,37,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,4801.0,6260.0
112,6,9,65,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,8350.0
113,6,12,47,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,8740.0
114,6,24,56,2.0,2,2,2.0,1.0,2.0,1.0,19.0,1,6.0,,5100.0
115,6,15,31,2.0,2,2,2.0,2.0,,2.0,23.0,2,1.0,4801.0,2320.0
116,6,14,33,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,4760.0
117,6,16,4,,2,2,,,,,2.0,2,,,
118,6,16,2,,2,2,,,,,,2,,,
119,6,6,53,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5630.0
120,6,7,31,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5700.0
121,6,10,28,2.0,2,2,2.0,2.0,,2.0,17.0,1,3.0,,9640.0
122,6,9,21,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5700.0
123,6,5,19,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,
124,6,13,81,2.0,2,2,2.0,2.0,,2.0,23.0,1,6.0,2405.0,
125,6,10,73,2.0,2,2,2.0,2.0,,2.0,23.0,2,6.0,2304.0,
126,6,13,45,2.0,2,2,2.0,2.0,,2.0,21.0,1,6.0,3202.0,
127,6,19,44,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,940.0
128,6,16,70,2.0,2,2,2.0,2.0,,2.0,21.0,1,6.0,6201.0,940.0
129,6,24,52,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,3401.0,5120.0
130,6,27,39,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,6107.0,3600.0
131,6,30,1,,2,2,,,,,,1,,,
132,6,23,68,2.0,1,2,2.0,2.0,2.0,2.0,22.0,1,1.0,5301.0,2200.0
133,6,25,67,2.0,2,2,1.0,1.0,,2.0,15.0,2,6.0,,
134,6,45,20,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,4110.0
