,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
74,25,73,52,2.0,2,2,2.0,2.0,,2.0,16.0,1,3.0,,8140.0
75,25,25,44,2.0,2,2,2.0,2.0,2.0,2.0,23.0,1,1.0,5003.0,3060.0
76,25,19,40,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6107.0,5110.0
77,25,22,11,2.0,2,2,,2.0,,2.0,7.0,1,,,
78,25,22,8,2.0,2,2,,2.0,,2.0,5.0,1,,,
79,25,22,5,2.0,2,2,,2.0,,2.0,2.0,1,,,
80,25,24,1,,2,2,,,,,,2,,,
81,25,17,63,2.0,2,2,2.0,1.0,2.0,2.0,16.0,1,1.0,,6200.0
82,25,3,22,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,6260.0
83,25,2,24,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,3600.0,3600.0
84,25,22,63,2.0,2,2,2.0,2.0,,2.0,17.0,1,6.0,,
85,25,25,59,2.0,1,2,2.0,1.0,,1.0,17.0,2,6.0,,
86,25,22,61,2.0,2,2,2.0,2.0,2.0,2.0,13.0,1,3.0,,8965.0
87,25,20,32,2.0,2,2,2.0,2.0,,2.0,12.0,1,6.0,,9610.0
88,25,12,45,2.0,2,2,2.0,2.0,,2.0,24.0,2,1.0,3301.0,2200.0
89,25,13,41,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,5506.0,220.0
90,25,11,12,2.0,2,2,,2.0,,2.0,9.0,2,,,
91,25,11,11,2.0,2,2,,2.0,,2.0,8.0,1,,,
92,25,10,71,2.0,2,2,2.0,2.0,,1.0,9.0,1,6.0,,
93,25,27,35,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,4850.0
94,25,17,37,2.0,2,2,2.0,2.0,,2.0,23.0,1,1.0,5200.0,3000.0
95,25,15,36,2.0,2,2,2.0,2.0,,2.0,23.0,2,1.0,5200.0,2100.0
96,25,14,4,,2,2,,,,,1.0,2,,,
97,25,13,1,,2,2,,,,,,2,,,
98,25,9,20,2.0,2,2,2.0,2.0,,2.0,19.0,2,3.0,,2540.0
99,25,20,53,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,4850.0
100,25,22,52,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
101,25,24,26,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,1901.0,4850.0
102,25,20,22,2.0,2,2,1.0,2.0,,2.0,19.0,2,3.0,,4760.0
103,25,16,38,2.0,2,2,2.0,2.0,1.0,2.0,16.0,1,1.0,,1020.0
104,25,10,16,2.0,2,2,2.0,2.0,,2.0,12.0,2,6.0,,4720.0
105,25,10,15,2.0,2,2,2.0,2.0,,2.0,10.0,1,,,
106,25,19,46,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,4220.0
107,25,16,46,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,3740.0
108,25,19,8,2.0,2,2,,2.0,,2.0,5.0,1,,,
109,25,75,37,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6107.0,3600.0
110,25,60,41,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6107.0,3220.0
111,25,58,10,2.0,2,2,,2.0,,2.0,7.0,2,,,
112,25,58,9,2.0,2,2,,2.0,,2.0,6.0,2,,,
113,25,58,7,2.0,2,2,,2.0,,2.0,4.0,2,,,
114,25,44,4,,2,2,,,,,1.0,1,,,
115,25,14,46,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5000.0
116,25,24,19,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4720.0
117,25,14,11,2.0,2,2,,2.0,,2.0,9.0,2,,,
118,25,20,29,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,5301.0,5940.0
119,25,19,0,,2,2,,,,,,1,,,
120,25,25,26,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,1460.0
121,25,25,75,1.0,1,1,1.0,1.0,,2.0,12.0,2,6.0,,
122,25,18,65,2.0,2,2,2.0,2.0,2.0,2.0,20.0,1,6.0,,7330.0
123,25,17,64,2.0,2,2,2.0,2.0,,2.0,15.0,2,6.0,,
124,25,13,73,2.0,2,2,2.0,2.0,,2.0,18.0,2,6.0,,
125,25,21,44,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,5506.0,710.0
126,25,17,3,,2,2,,,,,1.0,1,,,
127,25,20,13,2.0,2,2,,2.0,,2.0,11.0,1,,,
128,25,21,38,2.0,2,2,2.0,2.0,,2.0,24.0,2,1.0,3301.0,2200.0
129,25,25,80,2.0,2,2,1.0,1.0,,2.0,16.0,2,6.0,,
130,25,30,53,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,5810.0
131,25,12,21,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
132,25,15,47,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6203.0,110.0
133,25,13,11,2.0,2,2,,2.0,,1.0,8.0,1,,,
134,25,22,77,2.0,1,1,2.0,2.0,,2.0,19.0,2,6.0,,
135,25,10,83,2.0,2,2,2.0,2.0,,2.0,13.0,2,6.0,,
136,25,11,82,2.0,2,2,2.0,2.0,,2.0,13.0,1,6.0,,
137,25,11,55,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2304.0,2010.0
138,25,15,83,1.0,2,2,1.0,1.0,,2.0,20.0,2,6.0,,
139,25,34,45,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
140,25,33,53,2.0,2,2,2.0,2.0,,2.0,21.0,1,3.0,5200.0,4810.0
141,25,34,5,2.0,2,2,,2.0,,2.0,2.0,1,,,
142,25,28,3,,2,2,,,,,1.0,1,,,
143,25,22,42,2.0,2,2,2.0,2.0,,2.0,21.0,1,3.0,5601.0,710.0
144,25,23,41,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,6206.0,
145,25,21,6,2.0,2,2,,2.0,,2.0,3.0,1,,,
146,25,22,4,,2,2,,,,,2.0,1,,,
147,25,5,80,1.0,2,2,1.0,1.0,,1.0,11.0,2,6.0,,
148,25,47,41,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,410.0
149,25,44,27,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2313.0,5840.0
150,25,9,78,2.0,2,2,2.0,2.0,,2.0,12.0,2,6.0,,
151,25,20,52,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,4720.0
152,25,18,51,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5860.0
153,25,23,11,2.0,2,2,,2.0,,2.0,8.0,2,,,
154,25,11,51,2.0,2,2,2.0,1.0,,2.0,11.0,1,6.0,,
155,25,6,47,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
156,25,11,21,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4600.0
157,25,11,18,2.0,2,2,2.0,2.0,,2.0,18.0,1,6.0,,4020.0
158,25,16,31,2.0,2,2,2.0,2.0,,2.0,24.0,2,1.0,3601.0,1760.0
159,25,13,70,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
160,25,22,68,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,6.0,,
161,25,22,72,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
162,25,16,56,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,4800.0
163,25,16,53,2.0,2,2,2.0,2.0,,2.0,18.0,2,3.0,,10.0
164,25,3,19,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5860.0
165,25,67,33,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,8740.0
166,25,22,38,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,5810.0
167,25,28,0,,2,2,,,,,,1,,,
168,25,27,26,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,3700.0,1340.0
169,25,14,46,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5501.0,1107.0
170,25,15,43,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5506.0,4700.0
171,25,10,16,2.0,2,2,2.0,2.0,,2.0,13.0,2,6.0,,
172,25,12,14,2.0,2,2,,2.0,,2.0,11.0,2,,,
173,25,12,11,2.0,2,2,,2.0,,2.0,8.0,2,,,
174,25,11,22,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,4600.0
175,25,12,64,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,2499.0,430.0
176,25,11,63,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,2314.0,
177,25,5,78,2.0,2,2,2.0,2.0,2.0,2.0,21.0,1,6.0,5205.0,
178,25,5,73,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,5203.0,
179,25,5,87,2.0,1,2,2.0,2.0,2.0,2.0,14.0,1,6.0,,
180,25,31,67,2.0,2,2,2.0,2.0,,2.0,21.0,1,6.0,2413.0,
181,25,30,66,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,2300.0,4620.0
182,25,12,94,2.0,2,2,1.0,1.0,2.0,2.0,20.0,1,6.0,,
183,25,11,49,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4230.0
184,25,10,24,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
185,25,20,25,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5506.0,2145.0
186,25,11,24,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5506.0,2160.0
187,25,23,34,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,5200.0,4600.0
188,25,23,38,2.0,2,2,2.0,2.0,2.0,2.0,22.0,1,1.0,6107.0,3256.0
189,25,20,4,,2,2,,,,,1.0,1,,,
190,25,20,2,,2,2,,,,,,1,,,
